model_name,model_size,micro_batch_size,sequence_length_q,sequence_length_kv,fwd_compute,bwd_compute,fwd_allocated,fwd_reserved,bwd_allocated,bwd_reserved,input,output,weight,op
gpt,1-3B,1,32768,32768,225966.69921875,131887.7197265625,24.28125,359.71875,32.0,284.0,0.125,16.0,153.0,LanguageModelEmbedding
gpt,1-3B,2,32768,32768,454629.4921875,262870.7275390625,48.5625,977.4375,64.0,566.0,0.25,32.0,153.0,LanguageModelEmbedding
gpt,1-3B,1,65536,65536,450288.96484375,268900.146484375,48.5625,753.4375,64.0,822.0,0.25,32.0,281.0,LanguageModelEmbedding
gpt,1-3B,2,65536,65536,904832.12890625,537196.435546875,97.125,1952.875,128.0,1388.0,0.5,64.0,281.0,LanguageModelEmbedding
gpt,1-3B,1,131072,131072,885947.265625,544202.1484375,97.125,1440.875,128.0,1644.0,0.5,64.0,537.0,LanguageModelEmbedding
gpt,1-3B,2,131072,131072,1775490.4296875,1087192.578125,194.25,3901.75,256.0,2256.0,1.0,128.0,537.0,LanguageModelEmbedding
gpt,1-3B,1,32768,32768,143960.77880859375,228826.33056640625,952.5625,1047.4375,8.25,0.0,16.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,1-3B,2,32768,32768,287500.390625,457429.58984375,1760.875,2497.125,0.25,0.0,32.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,1-3B,1,65536,65536,287629.6142578125,459603.2470703125,1632.875,2369.125,0.25,0.0,32.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,1-3B,2,65536,65536,585152.294921875,916648.681640625,3521.75,4994.25,0.5,0.0,64.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,1-3B,1,131072,131072,580768.26171875,926956.640625,3265.75,4738.25,0.5,0.0,64.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,1-3B,2,131072,131072,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormPostProcess
gpt,1-3B,1,32768,32768,240600.5615234375,359902.3193359375,108.5322265625,0.0,31.96875,2.0,16.0,16.0,4.0,TELayerNormSelfAttentionDropout
gpt,1-3B,2,32768,32768,482653.7109375,723101.07421875,241.0634765625,0.0,63.9375,0.0,32.0,32.0,4.0,TELayerNormSelfAttentionDropout
gpt,1-3B,1,65536,65536,500437.40234375,768086.42578125,209.0634765625,48.9365234375,63.9375,256.0,32.0,32.0,4.0,TELayerNormSelfAttentionDropout
gpt,1-3B,2,65536,65536,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormSelfAttentionDropout
gpt,1-3B,1,131072,131072,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormSelfAttentionDropout
gpt,1-3B,2,131072,131072,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,TELayerNormSelfAttentionDropout
gpt,1-3B,1,32768,32768,232615.33203125,340523.291015625,168.03125,77.96875,31.96875,128.0,16.0,16.0,8.0,TELayerNormMlpDropout
gpt,1-3B,2,32768,32768,466388.37890625,675200.68359375,336.0625,0.0,63.9375,886.0,32.0,32.0,8.0,TELayerNormMlpDropout
gpt,1-3B,1,65536,65536,466667.626953125,684771.533203125,336.0625,0.0,63.9375,886.0,32.0,32.0,8.0,TELayerNormMlpDropout
gpt,1-3B,2,65536,65536,940449.8046875,1361299.8046875,672.125,607.875,127.875,768.0,64.0,64.0,8.0,TELayerNormMlpDropout
gpt,1-3B,1,131072,131072,940412.3046875,1375143.75,672.125,607.875,127.875,1024.0,64.0,64.0,8.0,TELayerNormMlpDropout
gpt,1-3B,2,131072,131072,1893161.1328125,2755181.8359375,1344.25,1215.75,255.75,2048.0,128.0,128.0,8.0,TELayerNormMlpDropout
gpt,1-3B,1,16384,16384,113375.84228515625,63846.197509765625,12.140625,179.859375,16.0,142.0,0.0625,8.0,89.0,LanguageModelEmbedding
gpt,1-3B,2,16384,16384,228158.056640625,127291.39404296875,24.28125,487.71875,32.0,284.0,0.125,16.0,89.0,LanguageModelEmbedding
gpt,1-3B,1,16384,16384,71855.51147460938,114559.58862304688,480.34375,603.65625,8.1875,0.0,8.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,1-3B,2,16384,16384,143300.40283203125,227519.49462890625,880.4375,1263.5625,0.125,0.0,16.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,1-3B,1,16384,16384,117771.05712890625,174198.18115234375,56.2666015625,0.0,15.984375,2.0,8.0,8.0,4.0,TELayerNormSelfAttentionDropout
gpt,1-3B,2,16384,16384,235272.607421875,348638.623046875,120.5322265625,253.4677734375,31.96875,130.0,16.0,16.0,4.0,TELayerNormSelfAttentionDropout
gpt,1-3B,1,16384,16384,115419.95849609375,170287.51220703125,84.015625,0.0,15.984375,0.0,8.0,8.0,8.0,TELayerNormMlpDropout
gpt,1-3B,2,16384,16384,231962.3291015625,336955.9814453125,168.03125,0.0,31.96875,0.0,16.0,16.0,8.0,TELayerNormMlpDropout
gpt,1-3B,1,8192,8192,57794.354248046875,32507.904052734375,7.0703125,88.9296875,8.0,72.0,0.03125,4.0,57.0,LanguageModelEmbedding
gpt,1-3B,2,8192,8192,115344.17724609375,63917.877197265625,12.140625,243.859375,16.0,142.0,0.0625,8.0,57.0,LanguageModelEmbedding
gpt,1-3B,1,8192,8192,36352.81982421875,57432.67822265625,244.234375,287.765625,8.15625,0.0,4.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,1-3B,2,8192,8192,71578.82690429688,114332.46459960938,440.21875,623.78125,0.0625,0.0,8.0,1.9073486328125e-06,25.0,TELayerNormPostProcess
gpt,1-3B,1,8192,8192,58611.3037109375,86531.06689453125,30.1337890625,215.8662109375,7.9921875,2.0,4.0,4.0,4.0,TELayerNormSelfAttentionDropout
gpt,1-3B,2,8192,8192,116882.8369140625,170804.2236328125,60.2666015625,249.7333984375,15.984375,2.0,8.0,8.0,4.0,TELayerNormSelfAttentionDropout
gpt,1-3B,1,8192,8192,58023.321533203125,85442.76733398438,43.0078125,202.9921875,7.9921875,0.0,4.0,4.0,8.0,TELayerNormMlpDropout
gpt,1-3B,2,8192,8192,116021.6552734375,168383.2763671875,84.015625,161.984375,15.984375,0.0,8.0,8.0,8.0,TELayerNormMlpDropout